BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
1,1679,1703,25,143670630,145280015,143,0.78102
14,17114,17138,25,25107556,26800529,25,0.7093
7,9267,9291,25,41956061,43808593,41,0.69545
18,20647,20671,25,14058919,17048434,14,0.60882
3,3995,4019,25,61630774,63257582,61,0.52874
3,3551,3575,25,15145012,18607477,15,0.50765
6,8630,8654,25,109682953,110983795,109,0.44829
25,26052,26076,25,34144055,35429971,34,0.44251
9,11393,11417,25,2934964,5045079,2,0.44069
8,10918,10942,25,77432453,79414861,77,0.43018
26,26420,26444,25,21977581,23964078,21,0.42238
5,6913,6937,25,75417666,77095345,75,0.42119
16,19169,19193,25,50183192,51811400,50,0.42079
15,18308,18332,25,53500910,55307660,53,0.40108
21,22909,22933,25,7784939,9715283,7,0.39168
9,12344,12368,25,93731471,95591202,93,0.38787
27,27183,27207,25,34731324,36155097,34,0.3796
18,21133,21157,25,56238540,58404041,56,0.3713
16,18937,18961,25,28999146,30935096,28,0.35692
3,3811,3835,25,42134780,44048816,42,0.35374
24,24966,24990,25,2702058,3991319,2,0.35342
9,11861,11885,25,49423844,51153579,49,0.34441
16,19205,19229,25,53399092,55619955,53,0.34218
4,4933,4957,25,12227322,14594779,12,0.33486
4,4843,4867,25,6049251,7594520,6,0.32581
24,25347,25371,25,34657985,36498621,34,0.32425
1,824,848,25,69659023,72640881,69,0.32219
22,23834,23858,25,16661066,18358528,16,0.32139
12,14985,15009,25,4746992,8102057,4,0.32108
18,20927,20951,25,39268365,40960722,39,0.31848
3,4029,4053,25,64012709,65743652,64,0.3184
16,19050,19074,25,37278839,38926711,37,0.31277
18,20611,20635,25,10994466,12784439,10,0.31039
9,11642,11666,25,25852948,28538817,25,0.30808
24,25042,25066,25,7899310,9760206,7,0.30557
4,5303,5327,25,44612810,46138975,44,0.30541
15,18036,18060,25,29896356,31469036,29,0.30134
17,20028,20052,25,41249275,42711744,41,0.29863
15,18407,18431,25,62002976,64214143,62,0.29406
2,2929,2953,25,95463866,98666598,95,0.29337
14,17150,17174,25,27875890,30275865,27,0.28933
3,3730,3754,25,33741850,35995151,33,0.28667
12,14953,14977,25,2387957,4147501,2,0.28545
3,4110,4134,25,69123629,70704122,69,0.28378
23,24794,24818,25,42357362,44332733,42,0.28297
25,25999,26023,25,30612098,32575148,30,0.28274
11,14853,14877,25,101136744,102641271,101,0.27824
19,21585,21609,25,34319757,36058250,34,0.27746
8,10156,10180,25,9094594,10844538,9,0.27168
4,5094,5118,25,25836368,27437103,25,0.27122
19,21910,21934,25,57592897,58919657,57,0.26937
1,1145,1169,25,98986363,100432385,98,0.26841
17,19907,19931,25,28816998,30925441,28,0.26329
4,5593,5617,25,69262899,71413010,69,0.26151
21,22871,22895,25,2918184,5944033,2,0.26042
16,19013,19037,25,34820781,36630447,34,0.26003
3,3519,3543,25,11539490,14321565,11,0.25587
13,16638,16662,25,70523797,71919584,70,0.25406
13,16576,16600,25,65108908,66825292,65,0.2534
15,17794,17818,25,9422834,12465925,9,0.25222
17,19779,19803,25,16166026,18493662,16,0.25178
22,23901,23925,25,21736880,24428789,21,0.24752
28,27627,27651,25,26211511,27536248,26,0.24743
10,13334,13358,25,77105887,79496312,77,0.244
18,20798,20822,25,26658261,28999193,26,0.24334
16,18974,18998,25,31813761,33671664,31,0.2425
28,27677,27701,25,29117568,32398753,29,0.241
1,1743,1767,25,147955914,149551396,147,0.24098
10,13107,13131,25,53661155,55773163,53,0.23971
6,7504,7528,25,10760779,12282881,10,0.23865
27,27076,27100,25,25501920,27345322,25,0.2379
16,19127,19151,25,46599711,48405692,46,0.23731
28,27805,27829,25,40931834,42255760,40,0.23543
2,2172,2196,25,22569871,24362479,22,0.23339
16,19248,19272,25,57197935,59500854,57,0.23198
2,2669,2693,25,64043648,66174477,64,0.23176
11,13763,13787,25,3557549,5095286,3,0.23171
19,21968,21992,25,61125348,62872243,61,0.23152
13,16778,16802,25,80120883,81533808,80,0.22687
7,9403,9427,25,55175470,57357439,55,0.22684
12,15796,15820,25,87400412,89404996,87,0.22681
9,12050,12074,25,64291804,66527271,64,0.22532
19,21310,21334,25,10542886,13425388,10,0.22518
9,11466,11490,25,10134275,12707144,10,0.22428
11,13945,13969,25,15814741,17484533,15,0.22415
24,25464,25488,25,45699025,47797164,45,0.22337
21,23358,23382,25,47400719,49336022,47,0.22273
16,19447,19471,25,73024176,74481728,73,0.22063
6,7874,7898,25,43037439,44672692,43,0.21834
11,14900,14924,25,104293559,106308481,104,0.21642
4,5761,5785,25,83737394,85605410,83,0.21613
11,14823,14847,25,98770719,100751591,98,0.21475
27,26978,27002,25,17918325,19464406,17,0.21381
11,14287,14311,25,44792485,46878517,44,0.21035
2,3362,3386,25,134896826,135994305,134,0.20793
13,16267,16291,25,39707232,41702235,39,0.20728
8,10234,10258,25,17903893,19895810,17,0.20699
28,27718,27742,25,34021273,35354394,34,0.20695
1,1034,1058,25,89189213,91154241,89,0.20691
2,2894,2918,25,92080445,94255738,92,0.20591
29,28390,28414,25,45875893,47713433,45,0.20543
22,23971,23995,25,29803741,32573751,29,0.20524
7,10019,10043,25,110791024,111973235,110,0.20481
11,13822,13846,25,7296877,8615231,7,0.20477
19,21740,21764,25,46044695,48209594,46,0.20465
4,5273,5297,25,41610894,44177870,41,0.2044
11,14538,14562,25,69634769,72159929,69,0.2033
3,3580,3604,25,19248260,21798101,19,0.20236
24,25385,25409,25,37566688,39629608,37,0.20225
27,27236,27260,25,37923186,39688231,37,0.20144
2,3166,3190,25,118932435,121125169,118,0.20075
10,12967,12991,25,42747456,44798942,42,0.19733
6,8376,8400,25,91631355,93243643,91,0.1965
5,6484,6508,25,26459925,28736911,26,0.19637
5,6248,6272,25,3193766,4698476,3,0.19577
6,7404,7428,25,1149647,3574803,1,0.19538
11,14773,14797,25,93612322,96474351,93,0.19389
16,19361,19385,25,66609042,68620055,66,0.19341
21,23089,23113,25,22123704,23976265,22,0.19253
2,1957,1981,25,4650209,6183129,4,0.19115
27,27154,27178,25,32230922,34036869,32,0.19087
19,21937,21961,25,59147851,60637541,59,0.19058
2,2346,2370,25,34084746,36228793,34,0.18938
15,18137,18161,25,36950873,39096970,36,0.18634
6,8006,8030,25,52828988,55384541,52,0.18629
5,7054,7078,25,90271919,94381154,90,0.18605
19,21483,21507,25,25016881,26700849,25,0.18583
2,2704,2728,25,67213974,68877969,67,0.18445
5,7083,7107,25,94774194,97530532,94,0.18427
13,15848,15872,25,777430,2372577,0,0.18381
2,2078,2102,25,15338769,17278352,15,0.18376
24,25615,25639,25,60058862,61918390,60,0.1835
3,3918,3942,25,52575462,56602309,52,0.18294
28,27392,27416,25,5818384,7464549,5,0.1826
15,17851,17875,25,15697628,17426575,15,0.18157
19,21524,21548,25,28738511,30522900,28,0.18135
6,7754,7778,25,31353827,33581983,31,0.18098
2,2011,2035,25,8933349,11458935,8,0.18093
3,3466,3490,25,5940341,8346751,5,0.18089
26,26549,26573,25,32030774,33691408,32,0.18038
9,11716,11740,25,32795214,34681064,32,0.17998
13,15951,15975,25,9862273,12529399,9,0.17961
15,18540,18564,25,72914738,74575241,72,0.17888
2,1904,1928,25,994302,2415461,0,0.17818
11,14145,14169,25,30551963,32333903,30,0.1781
28,27756,27780,25,36504079,38376643,36,0.17689
2,2277,2301,25,29509798,31050929,29,0.1768
6,8567,8591,25,105227572,106861178,105,0.1768
22,23693,23717,25,5524106,6876710,5,0.17621
7,9892,9916,25,99024444,102512960,99,0.17578
6,7673,7697,25,22650675,24664967,22,0.17556
26,26464,26488,25,26124236,27497280,26,0.17522
19,21765,21789,25,48239722,49704150,48,0.17454
9,12108,12132,25,71785036,74722894,71,0.17394
7,9303,9327,25,44778539,46954435,44,0.17291
14,16886,16910,25,5795431,7589670,5,0.17269
1,1445,1469,25,126027422,128031876,126,0.1725
5,7322,7346,25,116420609,118089275,116,0.17207
19,21864,21888,25,54674498,56300082,54,0.17145
2,3304,3328,25,130652581,132668144,130,0.17126
18,21087,21111,25,52087186,54351996,52,0.17122
3,3695,3719,25,30853504,32922670,30,0.16985
4,5828,5852,25,89568067,91498875,89,0.16975
3,4143,4167,25,71331734,74744528,71,0.16947
1,317,341,25,30156822,32036293,30,0.16896
19,21451,21475,25,22650660,24325647,22,0.16815
9,12235,12259,25,85333947,87302883,85,0.16772
5,7127,7151,25,100139180,103911258,100,0.16722
4,5386,5410,25,51544844,53777012,51,0.16662
13,16607,16631,25,67264571,69462978,67,0.16596
8,10891,10915,25,75514239,77166351,75,0.16561
8,11006,11030,25,85226911,86810388,85,0.16411
14,17354,17378,25,49450613,51811945,49,0.16312
10,13677,13701,25,102819188,103969064,102,0.163
8,11253,11277,25,104340545,106245419,104,0.16261
5,7029,7053,25,88249394,90185045,88,0.16259
7,9858,9882,25,95027313,98254815,95,0.1617
19,21796,21820,25,50295947,52152670,50,0.16147
15,18619,18643,25,78681531,81540854,78,0.15962
8,11189,11213,25,99804172,101498454,99,0.15891
21,23132,23156,25,26353327,28228285,26,0.15764
15,18067,18091,25,31803631,33447481,31,0.15761
6,8085,8109,25,61454298,62788712,61,0.15747
3,4444,4468,25,96072837,97583318,96,0.1571
8,10382,10406,25,30369356,32749041,30,0.15646
5,6410,6434,25,16024346,20976423,16,0.15615
16,19332,19356,25,64443511,66221857,64,0.15579
22,24245,24269,25,55535817,56916823,55,0.15365
11,14743,14767,25,90876399,92912897,90,0.15316
8,10272,10296,25,20686573,23116314,20,0.15315
14,16846,16870,25,2605493,4520969,2,0.15315
1,1235,1259,25,106881204,109136062,106,0.15308
4,5976,6000,25,102570116,104521487,102,0.15257
20,22393,22417,25,35169183,37237425,35,0.15242
4,5022,5046,25,20136412,21574492,20,0.15196
17,19824,19848,25,19800248,22398832,19,0.15196
7,8864,8888,25,5604181,7822111,5,0.15163
4,6017,6041,25,106633751,108120633,106,0.15139
16,18694,18718,25,689843,3035722,0,0.15057
28,27578,27602,25,21516493,23969284,21,0.15046
15,17935,17959,25,23257042,24647064,23,0.15037
11,14335,14359,25,49374782,51519270,49,0.15032
2,3094,3118,25,113064768,114477377,113,0.15001
14,17257,17281,25,40512939,42841242,40,0.14946
7,9805,9829,25,88828168,91602893,88,0.14878
14,17638,17662,25,77292340,80010342,77,0.14871
5,6569,6593,25,35958264,38516646,35,0.14864
2,2977,3001,25,103281621,105860790,103,0.14846
6,7822,7846,25,39371150,41253845,39,0.14838
16,19478,19502,25,74870220,76726251,74,0.14802
4,5541,5565,25,64386271,66781385,64,0.1472
21,22935,22959,25,9831005,11190007,9,0.14675
1,773,797,25,65624310,67814251,65,0.14673
14,17062,17086,25,20539082,22587081,20,0.14659
15,18347,18371,25,56782573,59020999,56,0.14647
24,25261,25285,25,28457132,29762125,28,0.14609
4,5797,5821,25,86591502,88741839,86,0.14594
3,4742,4766,25,116968644,118567045,116,0.14495
3,4587,4611,25,105787535,107542688,105,0.14433
24,25289,25313,25,30206723,31886347,30,0.14431
1,1075,1099,25,92958471,95297194,92,0.14425
10,12565,12589,25,6643198,8873550,6,0.14356
26,26742,26766,25,48810060,51337749,48,0.14314
17,19624,19648,25,4675045,6266432,4,0.14236
15,18182,18206,25,41383202,42949577,41,0.14211
11,14380,14404,25,55170733,57522675,55,0.141
8,10859,10883,25,72554288,74949334,72,0.14095
9,11516,11540,25,14989177,16768069,14,0.14084
14,16997,17021,25,14474033,17288504,14,0.14032
25,25656,25680,25,609241,2299373,0,0.14017
15,18435,18459,25,64436323,66082534,64,0.1398
29,28188,28212,25,28809817,30201805,28,0.13975
17,20198,20222,25,56023773,57800291,56,0.13964
9,11782,11806,25,38433170,41125489,38,0.13938
12,15161,15185,25,22451649,25493014,22,0.13921
23,24449,24473,25,10957659,12997137,10,0.1392
3,3772,3796,25,38811314,40678490,38,0.13907
23,24860,24884,25,47353027,49030120,47,0.13864
8,11094,11118,25,92360128,93969992,92,0.13771
7,9011,9035,25,22681472,24625377,22,0.13758
8,10326,10350,25,25822696,27596472,25,0.13745
2,2553,2577,25,53907394,55308672,53,0.1372
2,2045,2069,25,12533969,14891026,12,0.13693
17,20128,20152,25,48522455,50467384,48,0.13655
9,12477,12501,25,103700559,105587941,103,0.13623
11,14064,14088,25,23803086,26162970,23,0.13622
25,25912,25936,25,22964883,25192584,22,0.13581
7,9067,9091,25,27300328,28657444,27,0.13575
11,14005,14029,25,20326518,21681893,20,0.13535
3,4696,4720,25,113991679,115537299,113,0.13444
25,25730,25754,25,7322244,9906629,7,0.13409
26,26185,26209,25,1819162,4350094,1,0.13391
9,12010,12034,25,60496111,62961279,60,0.13384
23,24902,24926,25,49900420,51323380,49,0.13358
10,12705,12729,25,17100439,18983183,17,0.13352
1,566,590,25,48971016,50993685,48,0.13334
26,26661,26685,25,42471130,44120284,42,0.13289
27,27312,27336,25,43656445,45217020,43,0.13269
28,27860,27884,25,44118793,46173236,44,0.13212
23,24487,24511,25,13793884,15147471,13,0.13209
17,19993,20017,25,36411186,40432574,36,0.13206
1,145,169,25,14417802,16525498,14,0.13199
5,6217,6241,25,1223039,2586338,1,0.13162
12,15282,15306,25,35396022,39022698,35,0.13152
8,10954,10978,25,80280501,82471304,80,0.13094
16,19406,19430,25,70107175,71944945,70,0.13091
13,16502,16526,25,59514859,60691132,59,0.13044
20,22423,22447,25,37596667,39350230,37,0.12985
7,9754,9778,25,85041246,86522764,85,0.12977
2,2817,2841,25,78405537,80542965,78,0.12975
7,8824,8848,25,2948577,4247661,2,0.12943
12,15326,15350,25,43799317,46589464,43,0.12915
17,20385,20409,25,68253146,70443042,68,0.12889
