BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
1,1675,1699,25,143474642,144972015,143,4.21192
1,1630,1654,25,140120689,141926248,140,0.64089
16,18940,18964,25,29549475,31162715,29,0.55839
6,7490,7514,25,9633428,11301952,9,0.52452
4,5271,5295,25,41407058,43763107,41,0.51478
11,14009,14033,25,20622003,21968037,20,0.50589
1,1711,1735,25,145943761,147556901,145,0.49745
4,4936,4960,25,12560933,14807579,12,0.49017
15,18433,18457,25,64373612,65967835,64,0.47953
18,20927,20951,25,39268365,40960722,39,0.4751
14,17102,17126,25,23853811,25857110,23,0.43754
15,18347,18371,25,56782573,59020999,56,0.41581
3,4012,4036,25,62689947,64442549,62,0.41062
13,15935,15959,25,8831875,10302310,8,0.39784
20,22225,22249,25,17281716,19231361,17,0.38185
23,24452,24476,25,11251946,13122318,11,0.38141
14,17256,17280,25,40310509,42704659,40,0.37674
10,13114,13138,25,54439847,56140822,54,0.37453
21,23087,23111,25,22012794,23755490,22,0.37066
18,20619,20643,25,11652352,13455012,11,0.36053
3,4307,4331,25,85901731,87632354,85,0.3468
22,23694,23718,25,5579646,6916862,5,0.34347
13,16608,16632,25,67406632,69670639,67,0.33328
23,24484,24508,25,13714810,15035028,13,0.33299
8,11300,11324,25,108556349,110815784,108,0.33214
22,24177,24201,25,49131324,51550935,49,0.32678
11,14450,14474,25,62144546,63840544,62,0.32363
7,9264,9288,25,41742027,43538228,41,0.31509
23,24799,24823,25,42621004,44680105,42,0.31352
15,18307,18331,25,53459520,55254553,53,0.31017
1,1266,1290,25,109521534,111289853,109,0.30893
9,11642,11666,25,25852948,28538817,25,0.30825
17,19692,19716,25,9699044,11049283,9,0.30504
21,22864,22888,25,2151256,4825612,2,0.30208
23,24760,24784,25,40258674,41725497,40,0.2813
22,23802,23826,25,14133039,15974506,14,0.28122
5,6412,6436,25,16522966,21114508,16,0.28106
28,27381,27405,25,5052476,6958438,5,0.28091
13,16184,16208,25,32710351,35352877,32,0.27799
10,13355,13379,25,79175778,81113308,79,0.27774
4,4886,4910,25,9101496,10883984,9,0.27753
19,21579,21603,25,33895220,35735450,33,0.27557
16,19192,19216,25,51661530,54046062,51,0.27529
27,27217,27241,25,36853597,38233675,36,0.27104
2,3310,3334,25,131269032,133043817,131,0.26802
16,18768,18792,25,9569249,11590837,9,0.26758
1,1085,1109,25,94677356,96299260,94,0.2656
11,13710,13734,25,700120,1901787,0,0.26376
19,21303,21327,25,10085159,12669286,10,0.26336
4,5764,5788,25,83840022,85818170,83,0.26279
29,28318,28342,25,40321510,41989397,40,0.26241
18,20875,20899,25,34794005,36985552,34,0.26208
18,20644,20668,25,13486389,16968932,13,0.26082
1,1569,1593,25,135136476,136905127,135,0.2596
13,16345,16369,25,46181219,47397987,46,0.25764
7,9410,9434,25,56081309,57703177,56,0.25445
15,18177,18201,25,40753429,42784253,40,0.25368
5,6605,6629,25,40058566,42085647,40,0.24691
1,1389,1413,25,120732249,122973343,120,0.2429
2,1898,1922,25,747465,1926143,0,0.24255
3,4363,4387,25,89422763,90523019,89,0.24142
9,12111,12135,25,72115536,74848962,72,0.24096
2,1967,1991,25,5276521,7270116,5,0.24092
3,4682,4706,25,112574733,114703617,112,0.23946
2,2733,2757,25,69511580,71657308,69,0.23776
7,9303,9327,25,44778539,46954435,44,0.23764
19,21537,21561,25,29729113,31500451,29,0.23636
28,27730,27754,25,34722075,36314835,34,0.23568
9,11385,11409,25,2355048,4476378,2,0.23542
6,8406,8430,25,93737302,95414597,93,0.23456
5,6331,6355,25,8621147,10278129,8,0.23335
8,10920,10944,25,77608240,79497558,77,0.23276
13,16672,16696,25,72570537,74579327,72,0.23203
