BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
3,3544,3568,25,14589894,16983842,14,1.41147
16,19050,19074,25,37278839,38926711,37,0.88298
15,18137,18161,25,36950873,39096970,36,0.66434
11,14184,14208,25,33541908,36088191,33,0.61679
15,18202,18226,25,42807152,44224325,42,0.59045
6,8057,8081,25,58320244,61069604,58,0.49994
4,4843,4867,25,6049251,7594520,6,0.49913
15,18034,18058,25,29767119,31381330,29,0.47459
19,21706,21730,25,44216479,45591856,44,0.45242
21,22909,22933,25,7784939,9715283,7,0.44698
6,8007,8031,25,52937992,55496362,52,0.43818
17,20008,20032,25,38902191,41422335,38,0.43798
16,18931,18955,25,28384914,30656623,28,0.43173
7,9956,9980,25,106612109,108307729,106,0.42665
17,19687,19711,25,9392845,10703771,9,0.39786
3,4009,4033,25,62593709,64186622,62,0.39459
18,20553,20577,25,6961838,8765998,6,0.39457
9,11975,11999,25,58075303,59792545,58,0.3938
17,19779,19803,25,16166026,18493662,16,0.39154
6,7537,7561,25,12804438,14377471,12,0.38048
16,19160,19184,25,48936190,51063083,48,0.37331
21,22871,22895,25,2918184,5944033,2,0.36276
25,26051,26075,25,34112565,35368558,34,0.34776
4,5014,5038,25,19510899,20915847,19,0.34042
10,13105,13129,25,53318692,55611885,53,0.33829
7,9383,9407,25,52224595,55655916,52,0.32926
25,25958,25982,25,27028950,29454190,27,0.32508
29,28351,28375,25,42985739,44740917,42,0.3149
28,27810,27834,25,41120024,42520920,41,0.31439
7,9268,9292,25,42052923,43884451,42,0.31181
27,27013,27037,25,20962310,22779747,20,0.30114
19,21628,21652,25,37217989,39491813,37,0.30108
19,21843,21867,25,53646934,54920324,53,0.30081
19,21451,21475,25,22650660,24325647,22,0.29985
8,10922,10946,25,77842261,79559282,77,0.29487
4,5865,5889,25,92235197,94305981,92,0.29361
21,23168,23192,25,29704865,31278884,29,0.29254
16,19015,19039,25,34938163,36744747,34,0.28696
21,23199,23223,25,32648822,35184852,32,0.28579
4,5377,5401,25,50322082,52823821,50,0.28447
16,19205,19229,25,53399092,55619955,53,0.28178
7,9868,9892,25,96765614,99024444,96,0.27351
15,17779,17803,25,7306679,10700852,7,0.27311
18,20599,20623,25,10316510,11836226,10,0.2729
23,24786,24810,25,41816233,43497286,41,0.2714
11,13706,13730,25,217441,1733607,0,0.26896
3,3592,3616,25,20575574,22644111,20,0.26642
15,18450,18474,25,65717899,67158145,65,0.2652
6,7874,7898,25,43037439,44672692,43,0.26331
20,22188,22212,25,13688670,16357095,13,0.26171
4,5191,5215,25,35354923,37021317,35,0.25984
3,4399,4423,25,91644794,93744226,91,0.25748
8,10222,10246,25,16594948,18894347,16,0.25733
1,826,850,25,69867959,72736590,69,0.25481
15,18089,18113,25,33310389,34946066,33,0.25477
23,24502,24526,25,14769068,16697867,14,0.25468
26,26188,26212,25,2579823,4558899,2,0.2527
4,5535,5559,25,63454908,66368850,63,0.2523
1,748,772,25,64301934,65522044,64,0.24912
14,17114,17138,25,25107556,26800529,25,0.24192
22,23834,23858,25,16661066,18358528,16,0.23971
21,23139,23163,25,26965607,29251234,26,0.23913
18,20489,20513,25,2163914,4463083,2,0.23912
17,19753,19777,25,14167323,16070807,14,0.23881
12,14954,14978,25,2569573,4305945,2,0.23845
1,651,675,25,55832662,59071436,55,0.2382
11,13755,13779,25,3140003,4848397,3,0.23802
12,15796,15820,25,87400412,89404996,87,0.23653
21,23520,23544,25,63014645,65102247,63,0.23641
12,15766,15790,25,85475400,87226140,85,0.23548
29,28390,28414,25,45875893,47713433,45,0.23294
2,2271,2295,25,29135710,30607947,29,0.2328
5,6388,6412,25,14189730,16522966,14,0.23188
22,23705,23729,25,6064248,8062535,6,0.23156
22,23890,23914,25,21085263,23554117,21,0.23119
17,20264,20288,25,61248541,62504788,61,0.22914
8,11265,11289,25,105459717,107243184,105,0.22784
2,2346,2370,25,34084746,36228793,34,0.22601
21,23032,23056,25,18077750,19897848,18,0.225
14,17267,17291,25,41343032,44254668,41,0.22286
24,24994,25018,25,4375311,6276349,4,0.22171
3,4501,4525,25,99618678,101280610,99,0.22124
11,13925,13949,25,14037552,15999515,14,0.2208
11,14064,14088,25,23803086,26162970,23,0.22071
19,21273,21297,25,7833508,9172300,7,0.22037
3,3959,3983,25,58434544,60851066,58,0.22006
8,11006,11030,25,85226911,86810388,85,0.21985
5,7256,7280,25,111547059,112945811,111,0.2197
3,3645,3669,25,26244281,28144691,26,0.21877
1,546,570,25,47102513,49318678,47,0.21859
6,8629,8653,25,109652813,110936126,109,0.2183
6,7759,7783,25,31677506,34967750,31,0.21649
7,8827,8851,25,3069070,4592227,3,0.21544
3,3518,3542,25,11418405,14273135,11,0.21529
26,26498,26522,25,28368749,29896827,28,0.21515
11,14108,14132,25,28056860,29602170,28,0.21348
14,17024,17048,25,17517923,19316702,17,0.21148
9,11657,11681,25,27965979,30263355,27,0.20676
1,1145,1169,25,98986363,100432385,98,0.20572
15,18175,18199,25,40530772,42657355,40,0.20554
5,6328,6352,25,8476871,10066097,8,0.20513
17,20114,20138,25,47309946,49181363,47,0.20504
6,7653,7677,25,20946932,23017006,20,0.20477
6,7404,7428,25,1149647,3574803,1,0.20474
10,12566,12590,25,6669494,9208908,6,0.20474
1,1690,1714,25,144348682,146131914,144,0.20415
1,175,199,25,16963232,19829143,16,0.20259
1,1238,1262,25,107217357,109221369,107,0.20121
11,14209,14233,25,36332869,38559011,36,0.2006
21,23237,23261,25,36379982,38226290,36,0.1984
8,10640,10664,25,52693230,54627149,52,0.19789
25,25855,25879,25,17938228,20773510,17,0.19552
16,18878,18902,25,21741980,25648232,21,0.19538
19,21937,21961,25,59147851,60637541,59,0.19274
6,7916,7940,25,45813845,48025306,45,0.19231
25,25996,26020,25,30269233,32137499,30,0.19157
1,323,347,25,30606444,32449976,30,0.19132
6,8336,8360,25,88421804,90783153,88,0.19117
11,14145,14169,25,30551963,32333903,30,0.19094
8,10516,10540,25,42835856,45063844,42,0.19013
28,27486,27510,25,14205772,15739975,14,0.19003
28,27358,27382,25,2924302,5174726,2,0.1895
6,8090,8114,25,61810659,63232513,61,0.18845
6,7507,7531,25,10838635,12521271,10,0.18791
5,7114,7138,25,98579869,101721892,98,0.18627
8,11111,11135,25,93611407,94973599,93,0.18469
3,4137,4161,25,71077825,74204900,71,0.18272
5,7150,7174,25,103821233,105664687,103,0.18154
23,24743,24767,25,38105202,40703070,38,0.18148
24,24951,24975,25,1604247,3110607,1,0.18059
24,25088,25112,25,11405540,13281977,11,0.17974
4,4937,4961,25,12678906,15029333,12,0.1796
11,14615,14639,25,77493775,79657302,77,0.17947
18,21131,21155,25,56121920,58067310,56,0.17674
26,26311,26335,25,13455013,15145083,13,0.17666
24,25563,25587,25,55284787,57395079,55,0.17616
19,21881,21905,25,55765531,57075809,55,0.17437
4,6061,6085,25,110776624,112317788,110,0.17403
2,3113,3137,25,114317194,115771013,114,0.17378
17,20196,20220,25,55916203,57350232,55,0.17378
9,12047,12071,25,64207421,66183555,64,0.17354
1,980,1004,25,84175752,86777370,84,0.17316
27,27165,27189,25,32855429,35084149,32,0.17242
20,22054,22078,25,4366134,5601132,4,0.17172
17,19943,19967,25,31966201,33638999,31,0.171
6,8489,8513,25,99992455,101399909,99,0.16954
12,15346,15370,25,46159958,48042191,46,0.16874
7,9754,9778,25,85041246,86522764,85,0.16868
13,16808,16832,25,81814135,83951281,81,0.16863
21,23000,23024,25,15304102,17568377,15,0.16805
5,6900,6924,25,74435895,76317361,74,0.16777
9,12205,12229,25,82355820,83837068,82,0.16746
18,20927,20951,25,39268365,40960722,39,0.16737
10,12992,13016,25,44821159,46598505,44,0.16719
13,16569,16593,25,64737978,66240806,64,0.16698
6,7831,7855,25,40130189,41719693,40,0.16662
9,12232,12256,25,84595871,87164626,84,0.16376
11,13822,13846,25,7296877,8615231,7,0.1631
7,8878,8902,25,6248226,12331895,6,0.16258
4,5987,6011,25,103852324,106018897,103,0.16248
5,7185,7209,25,106813133,108172899,106,0.16162
19,21502,21526,25,26331593,28804007,26,0.16147
1,397,421,25,35993477,37677212,35,0.16116
20,22438,22462,25,38761711,40384206,38,0.16108
1,1588,1612,25,136709558,138650000,136,0.16085
11,14339,14363,25,49793722,51893364,49,0.16071
3,3913,3937,25,52000343,55187147,52,0.16003
9,11859,11883,25,49031626,50992462,49,0.16003
6,7680,7704,25,23408172,25203804,23,0.15999
18,21197,21221,25,64316116,65978584,64,0.15986
16,19241,19265,25,56786826,58707105,56,0.15983
9,11820,11844,25,43595237,46739973,43,0.15964
10,13616,13640,25,98245112,99828782,98,0.15964
8,10271,10295,25,20639085,22848837,20,0.15913
13,16727,16751,25,76841156,78115143,76,0.15913
11,14447,14471,25,61989432,63686208,61,0.15896
9,12135,12159,25,74848962,77162640,74,0.15895
15,17728,17752,25,2988789,5027884,2,0.15886
1,1034,1058,25,89189213,91154241,89,0.1576
17,19623,19647,25,4558069,6106783,4,0.15742
5,6734,6758,25,54711045,60513092,54,0.15673
20,22027,22051,25,1985423,4267775,1,0.15588
25,25907,25931,25,22617891,24661275,22,0.15582
28,27561,27585,25,19890598,22148051,19,0.15523
4,4877,4901,25,8311870,10000800,8,0.15476
24,25402,25426,25,38962480,40983360,38,0.15433
15,18408,18432,25,62116083,64283442,62,0.15422
20,22109,22133,25,7491951,8897859,7,0.15396
2,2567,2591,25,54740773,55976443,54,0.15363
29,28285,28309,25,36141887,38015000,36,0.15177
17,19879,19903,25,26398481,28653636,26,0.1517
7,10019,10043,25,110791024,111973235,110,0.15167
11,14244,14268,25,39477093,42799812,39,0.15166
10,13441,13465,25,85649939,87334868,85,0.15165
4,5895,5919,25,94760042,96581019,94,0.15163
19,21598,21622,25,35419429,36855208,35,0.15054
20,22149,22173,25,10031239,12096971,10,0.15046
29,27968,27992,25,8136855,10729803,8,0.15034
20,22237,22261,25,18176797,20392520,18,0.15027
23,24557,24581,25,19210594,20374550,19,0.15016
9,12015,12039,25,60886086,63739649,60,0.14995
19,21767,21791,25,48405523,49752648,48,0.14986
4,5590,5614,25,69038555,71158924,69,0.14985
12,15541,15565,25,59921146,62550434,59,0.14967
11,14901,14925,25,104493462,106348964,104,0.14963
2,2018,2042,25,9202511,12118550,9,0.14916
2,3013,3037,25,107409737,108843619,107,0.1489
10,12954,12978,25,41907778,44103665,41,0.1487
15,17808,17832,25,11197384,13631935,11,0.14869
22,24100,24124,25,42472743,44646095,42,0.14842
8,10845,10869,25,70746297,73435613,70,0.14825
15,18547,18571,25,73475016,75065222,73,0.14736
9,11763,11787,25,36578334,38769703,36,0.14645
29,28044,28068,25,15955906,17876279,15,0.14631
7,9627,9651,25,74970972,76641810,74,0.14612
8,10180,10204,25,10844538,14394671,10,0.14581
8,10135,10159,25,7413650,9194053,7,0.14527
18,21001,21025,25,44562069,46936044,44,0.14477
27,27122,27146,25,29934809,31600184,29,0.143
18,20656,20680,25,15834073,17988032,15,0.14286
12,15647,15671,25,69494347,77524541,69,0.14191
1,594,618,25,51258380,53656600,51,0.14179
7,9411,9435,25,56130546,57887001,56,0.14166
17,20330,20354,25,65547385,66671839,65,0.14127
5,6286,6310,25,5500808,7175086,5,0.14119
19,21796,21820,25,50295947,52152670,50,0.14069
15,18509,18533,25,70139530,72001676,70,0.14045
4,5407,5431,25,53400639,56031281,53,0.14041
4,5231,5255,25,37916175,39719917,37,0.14016
5,7282,7306,25,113040432,115146217,113,0.14002
15,18302,18326,25,52875986,54803685,52,0.1397
5,6835,6859,25,68880383,71475195,68,0.13904
3,4577,4601,25,105277008,106703389,105,0.13892
21,23346,23370,25,45333059,48545958,45,0.13855
2,3373,3397,25,135347580,136483623,135,0.13763
9,12449,12473,25,101359409,103383683,101,0.13702
4,5278,5302,25,42103377,44570670,42,0.13685
7,9516,9540,25,64939808,66614258,64,0.13675
23,24911,24935,25,50688170,51991897,50,0.13592
24,25281,25305,25,29658517,31133584,29,0.13585
7,9918,9942,25,102658777,105560604,102,0.13565
1,902,926,25,78449548,80269992,78,0.13538
24,25465,25489,25,45735897,47880145,45,0.13527
2,2938,2962,25,96953499,100273809,96,0.13452
15,18063,18087,25,31555266,33219702,31,0.13443
18,20760,20784,25,23949849,25906797,23,0.13419
17,20414,20438,25,70755087,72202151,70,0.1337
4,6151,6175,25,117412387,119041474,117,0.1327
7,9188,9212,25,36599560,38674403,36,0.1322
8,11190,11214,25,99899289,101529840,99,0.1321
11,14537,14561,25,69506822,72091322,69,0.13196
21,23092,23116,25,22277053,24659132,22,0.13191
25,26125,26149,25,39066743,40851475,39,0.13191
8,10379,10403,25,30188865,32366271,30,0.13184
3,3680,3704,25,29852694,31434239,29,0.13148
16,19489,19513,25,75892097,77170719,75,0.13125
10,12513,12537,25,2244249,4340696,2,0.13068
13,16080,16104,25,22418071,25323323,22,0.13068
4,4983,5007,25,16748166,18967053,16,0.13055
25,26026,26050,25,32672869,34055277,32,0.13053
14,16849,16873,25,2826632,4808166,2,0.13038
7,9005,9029,25,22236584,24014128,22,0.1297
2,2676,2700,25,65017334,67033088,65,0.12922
20,22767,22791,25,65160565,67060157,65,0.12883
27,27289,27313,25,42216810,43672233,42,0.12869
11,14304,14328,25,46411100,48300018,46,0.12853
28,27672,27696,25,28580661,31764960,28,0.1278
4,5133,5157,25,28847032,31838723,28,0.12762
10,13351,13375,25,78608571,81020269,78,0.12762
24,25518,25542,25,50640590,53075632,50,0.12675
7,8915,8939,25,13526016,15921536,13,0.12622
11,14849,14873,25,100810072,102490616,100,0.12602
17,20086,20110,25,45258744,47170772,45,0.12561
16,19404,19428,25,70014805,71735866,70,0.12518
9,12163,12187,25,77442550,81277154,77,0.12514
17,19981,20005,25,34429947,38207944,34,0.12486
8,10891,10915,25,75514239,77166351,75,0.12396
21,22946,22970,25,10501180,12235777,10,0.12372
27,26782,26806,25,367537,3076246,0,0.12364
4,5666,5690,25,75487622,76943551,75,0.12293
7,8968,8992,25,18707985,20993918,18,0.12279
22,24309,24333,25,59928392,61172869,59,0.12245
19,21356,21380,25,15362361,16700029,15,0.12242
20,22393,22417,25,35169183,37237425,35,0.12215
8,10970,10994,25,81964415,84446493,81,0.12155
1,140,164,25,13376687,16245203,13,0.1212
26,26433,26457,25,23180667,25473170,23,0.12097
14,17429,17453,25,57672324,59884595,57,0.12088
11,14388,14412,25,55745998,58524865,55,0.12049
11,14759,14783,25,92245650,94713144,92,0.12032
9,11386,11410,25,2485956,4547993,2,0.12012
1,722,746,25,62251590,64031787,62,0.1201
5,6358,6382,25,10511028,13064372,10,0.1198
16,19339,19363,25,64872924,66729065,64,0.11968
14,17148,17172,25,27604507,29987025,27,0.11906
8,10334,10358,25,26330491,28384201,26,0.11849
6,8459,8483,25,97937238,99408048,97,0.11804
13,16779,16803,25,80214872,81576035,80,0.11793
18,20817,20841,25,28425238,32335701,28,0.11792
10,12814,12838,25,28680745,30811491,28,0.11761
17,19850,19874,25,22713714,25851918,22,0.11751
6,7798,7822,25,37501365,39371150,37,0.11734
2,1922,1946,25,1926143,3860379,1,0.11729
5,7342,7366,25,117909120,119139076,117,0.11688
15,18475,18499,25,67218852,69097946,67,0.11628
20,22558,22582,25,48903795,51143018,48,0.11559
12,15405,15429,25,50451289,51864752,50,0.11546
1,942,966,25,81345283,83006326,81,0.11505
2,3164,3188,25,118824462,120542406,118,0.11487
24,25044,25068,25,7968526,9864505,7,0.11466
1,1296,1320,25,111955405,114239740,111,0.11407
13,16537,16561,25,62330291,63769995,62,0.11406
4,6117,6141,25,114975718,116666797,114,0.11384
3,4067,4091,25,66653007,68078177,66,0.11353
29,28435,28459,25,48735363,50466342,48,0.11345
17,19812,19836,25,19008492,21032775,19,0.11321
4,5064,5088,25,23293692,25433941,23,0.11307
19,21679,21703,25,41789208,43948803,41,0.113
9,11934,11958,25,54916913,56973559,54,0.11289
13,16331,16355,25,45475151,46605539,45,0.11274
1,423,447,25,38307976,40379850,38,0.11266
17,20164,20188,25,53201552,55519655,53,0.11245
2,2614,2638,25,58291941,61080508,58,0.11235
22,23674,23698,25,4046850,5694881,4,0.11221
22,24271,24295,25,56997366,58790629,56,0.11207
12,14980,15004,25,4429317,7020056,4,0.11204
6,7587,7611,25,16171428,18033876,16,0.11196
27,26872,26896,25,11365955,12900677,11,0.11184
10,12680,12704,25,15459816,16903570,15,0.1118
22,23973,23997,25,30044319,32651309,30,0.11168
3,3727,3751,25,33483631,35287458,33,0.11128
2,3193,3217,25,121289591,123561620,121,0.11127
12,15729,15753,25,82326530,84656652,82,0.11119
2,2521,2545,25,52018862,53580101,52,0.111
28,27394,27418,25,5912551,7534483,5,0.11081
8,11298,11322,25,108343690,110455623,108,0.11064
1,868,892,25,74219065,76709967,74,0.11062
28,27718,27742,25,34021273,35354394,34,0.11044
1,1865,1889,25,156854530,158161585,156,0.11033
16,18694,18718,25,689843,3035722,0,0.11026
