BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
11,13920,13944,25,13751244,15644634,13,1.61492
5,6925,6949,25,76457030,78776781,76,0.82097
14,17118,17142,25,25401722,27155254,25,0.80285
4,5271,5295,25,41407058,43763107,41,0.80018
6,8503,8527,25,100876879,102321627,100,0.65049
23,24502,24526,25,14769068,16697867,14,0.60829
8,10536,10560,25,44764274,46271357,44,0.58106
3,4663,4687,25,111072192,112955526,111,0.46852
16,18925,18949,25,27671754,30333319,27,0.44958
8,10261,10285,25,20018829,21807131,20,0.44396
28,27550,27574,25,18563984,21014194,18,0.44339
6,8647,8671,25,110720211,112154716,110,0.43973
13,16569,16593,25,64737978,66240806,64,0.43887
21,23087,23111,25,22012794,23755490,22,0.4361
11,14088,14112,25,26162970,28255163,26,0.43529
4,4878,4902,25,8347493,10148342,8,0.40649
29,28320,28344,25,40369589,42190604,40,0.40258
11,13891,13915,25,11662712,13521427,11,0.39884
11,14421,14445,25,59186199,61080039,59,0.36896
23,24798,24822,25,42581988,44458259,42,0.35966
7,9029,9053,25,24014128,26155472,24,0.35571
5,7127,7151,25,100139180,103911258,100,0.35358
20,22399,22423,25,35557902,37596667,35,0.35263
13,16641,16665,25,70702815,72077698,70,0.3454
1,1676,1700,25,143524601,145009246,143,0.34069
3,4293,4317,25,84966080,86715849,84,0.34024
26,26605,26629,25,37203584,39121205,37,0.33606
28,27631,27655,25,26530892,27762101,26,0.33284
7,9875,9899,25,97529872,99919908,97,0.31762
4,5410,5434,25,53777012,56128581,53,0.31371
6,8609,8633,25,108257168,109835444,108,0.31217
1,772,796,25,65522044,67792994,65,0.31166
3,4358,4382,25,89257029,90353180,89,0.3085
26,26421,26445,25,22059103,24130397,22,0.30609
6,8149,8173,25,66472802,68291351,66,0.29927
3,3949,3973,25,57283356,60072921,57,0.2959
15,18291,18315,25,51957162,54065284,51,0.29051
5,6594,6618,25,38701654,40868010,38,0.28992
3,4529,4553,25,101636723,102810330,101,0.28769
5,6282,6306,25,5345488,6859970,5,0.28611
27,26994,27018,25,19017466,21480570,19,0.28347
3,4772,4796,25,119529509,121374825,119,0.27685
3,4399,4423,25,91644794,93744226,91,0.2752
