BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
3,3543,3567,25,14321565,16881296,14,0.81851
1,1678,1702,25,143615536,145222792,143,0.69465
8,10921,10945,25,77767018,79534851,77,0.54833
6,8630,8654,25,109682953,110983795,109,0.54191
1,977,1001,25,83859398,86596243,83,0.5074
1,835,859,25,71229187,73404401,71,0.48665
14,17114,17138,25,25107556,26800529,25,0.45331
16,19053,19077,25,37588148,40001986,37,0.43346
7,9267,9291,25,41956061,43808593,41,0.39966
26,26407,26431,25,20772573,22913016,20,0.39553
4,5302,5326,25,44570670,46084089,44,0.38523
6,7658,7682,25,21293951,23460345,21,0.3786
3,4011,4035,25,62668669,64428546,62,0.36683
6,7754,7778,25,31353827,33581983,31,0.36618
27,27237,27261,25,38025744,39783292,38,0.36472
19,21591,21615,25,34836416,36437188,34,0.35739
27,27185,27209,25,34904207,36285734,34,0.35667
15,18407,18431,25,62002976,64214143,62,0.35483
26,26176,26200,25,756489,3689522,0,0.35193
10,12963,12987,25,42501988,44556318,42,0.35117
17,20028,20052,25,41249275,42711744,41,0.34672
9,11642,11666,25,25852948,28538817,25,0.34588
5,7056,7080,25,90408687,94496854,90,0.34574
4,5012,5036,25,19401500,20788689,19,0.33013
5,6913,6937,25,75417666,77095345,75,0.32366
12,15703,15727,25,80058952,82159124,80,0.32089
16,19205,19229,25,53399092,55619955,53,0.31831
9,11391,11415,25,2867786,4838073,2,0.31088
4,5828,5852,25,89568067,91498875,89,0.30647
18,20662,20686,25,16654560,18294473,16,0.30639
24,25025,25049,25,6860164,8293809,6,0.30456
24,25472,25496,25,46202647,48618537,46,0.29777
21,23092,23116,25,22277053,24659132,22,0.2946
11,14537,14561,25,69506822,72091322,69,0.29441
18,21134,21158,25,56319394,58496609,56,0.28863
14,17048,17072,25,19316702,21559712,19,0.28842
4,6016,6040,25,106404042,108076254,106,0.28719
9,11466,11490,25,10134275,12707144,10,0.28422
2,1908,1932,25,1164256,2966881,1,0.28358
21,23231,23255,25,36032144,37978844,36,0.28228
17,19687,19711,25,9392845,10703771,9,0.27959
24,25615,25639,25,60058862,61918390,60,0.27615
12,14954,14978,25,2569573,4305945,2,0.27583
15,18539,18563,25,72771875,74518742,72,0.27408
4,4843,4867,25,6049251,7594520,6,0.27045
3,3572,3596,25,18374455,21146877,18,0.26967
5,6378,6402,25,12463666,15176813,12,0.26608
16,18974,18998,25,31813761,33671664,31,0.26437
21,23168,23192,25,29704865,31278884,29,0.26435
6,8180,8204,25,69601707,72195522,69,0.26401
15,18034,18058,25,29767119,31381330,29,0.26244
18,20798,20822,25,26658261,28999193,26,0.26053
1,1013,1037,25,87573900,89325400,87,0.25739
15,17810,17834,25,11395733,13828128,11,0.25501
11,13823,13847,25,7322722,8713134,7,0.25313
12,14984,15008,25,4718544,7940808,4,0.25277
1,808,832,25,68403441,70852215,68,0.25136
1,1145,1169,25,98986363,100432385,98,0.2513
18,20610,20634,25,10931741,12620198,10,0.24885
24,24965,24989,25,2579535,3978841,2,0.24789
11,14145,14169,25,30551963,32333903,30,0.24677
17,20264,20288,25,61248541,62504788,61,0.24646
7,9868,9892,25,96765614,99024444,96,0.24645
1,1583,1607,25,136150358,138243679,136,0.24471
21,23035,23059,25,18338067,20216308,18,0.24283
20,22404,22428,25,36152608,38059359,36,0.24202
4,5761,5785,25,83737394,85605410,83,0.24198
17,19753,19777,25,14167323,16070807,14,0.24001
3,3718,3742,25,32881816,34669774,32,0.2378
2,2683,2707,25,65249007,67387596,65,0.23659
26,26546,26570,25,31718007,33495295,31,0.23352
19,21266,21290,25,7231838,8648705,7,0.23142
8,10153,10177,25,8912792,10680165,8,0.2313
18,20867,20891,25,34126956,35761850,34,0.22812
27,26978,27002,25,17918325,19464406,17,0.22621
16,19446,19470,25,72983578,74452786,72,0.22605
3,4362,4386,25,89398993,90495998,89,0.22577
16,19127,19151,25,46599711,48405692,46,0.22524
1,1238,1262,25,107217357,109221369,107,0.22445
5,6827,6851,25,68363301,70305631,68,0.22439
6,8546,8570,25,103796957,105566153,103,0.22375
14,17148,17172,25,27604507,29987025,27,0.22076
19,21478,21502,25,24812617,26331593,24,0.21946
5,6484,6508,25,26459925,28736911,26,0.2188
4,5593,5617,25,69262899,71413010,69,0.2174
5,6407,6431,25,15696963,20512172,15,0.21645
14,17342,17366,25,48679326,50485190,48,0.2159
3,4118,4142,25,69579599,71304167,69,0.21418
2,2279,2303,25,29699653,31112142,29,0.21386
2,2347,2371,25,34118200,36393032,34,0.21339
15,18309,18333,25,53554378,55378514,53,0.2128
11,14108,14132,25,28056860,29602170,28,0.21174
6,8000,8024,25,52448258,55077357,52,0.21053
8,10116,10140,25,5437200,7977499,5,0.20995
18,20927,20951,25,39268365,40960722,39,0.20972
25,25951,25975,25,26669633,28906785,26,0.20971
15,18664,18688,25,82768398,84865591,82,0.20877
2,2175,2199,25,22768217,24472770,22,0.20867
26,26672,26696,25,43211435,45010453,43,0.20749
16,19362,19386,25,66644320,68747873,66,0.20736
19,21419,21443,25,19669849,22011112,19,0.20668
7,8900,8924,25,9170772,13912342,9,0.20663
28,27394,27418,25,5912551,7534483,5,0.20644
8,10608,10632,25,50473492,52204929,50,0.20613
3,3820,3844,25,42893462,45057762,42,0.20608
11,14852,14876,25,101022540,102603890,101,0.20563
4,5057,5081,25,22549817,25048072,22,0.20558
17,20083,20107,25,45105544,46757291,45,0.20557
28,27627,27651,25,26211511,27536248,26,0.20421
3,3516,3540,25,11129475,14139949,11,0.20369
2,2929,2953,25,95463866,98666598,95,0.20331
6,8057,8081,25,58320244,61069604,58,0.20302
2,3173,3197,25,119489131,121707643,119,0.20194
29,28314,28338,25,38300709,41778946,38,0.20143
19,21865,21889,25,54756421,56341205,54,0.20127
7,9622,9646,25,74632687,76199889,74,0.20078
9,12338,12362,25,93144071,95194688,93,0.20054
6,8491,8515,25,100039099,101539763,100,0.19982
8,10847,10871,25,71320860,73570274,71,0.19862
5,7323,7347,25,116446816,118184826,116,0.19852
17,20414,20438,25,70755087,72202151,70,0.1969
19,21946,21970,25,59879433,61205726,59,0.1928
3,3762,3786,25,37005589,39978795,37,0.19222
13,16347,16371,25,46239050,47450332,46,0.19222
4,5273,5297,25,41610894,44177870,41,0.1921
6,7874,7898,25,43037439,44672692,43,0.19122
5,7082,7106,25,94645698,97490658,94,0.19066
22,23832,23856,25,16531187,18298289,16,0.19039
1,724,748,25,62607089,64301934,62,0.19027
4,5540,5564,25,64287547,66695747,64,0.18947
8,10946,10970,25,79559282,81964415,79,0.18918
19,21796,21820,25,50295947,52152670,50,0.18896
4,5797,5821,25,86591502,88741839,86,0.18872
11,14176,14200,25,32954702,35473575,32,0.18839
4,4937,4961,25,12678906,15029333,12,0.18778
21,22912,22936,25,8060649,9867975,8,0.18737
4,6163,6187,25,118044840,119574085,118,0.18705
16,19248,19272,25,57197935,59500854,57,0.18612
11,14759,14783,25,92245650,94713144,92,0.18562
8,11240,11264,25,103188091,105244069,103,0.18554
19,21310,21334,25,10542886,13425388,10,0.18489
1,758,782,25,64908763,66369026,64,0.18455
21,23132,23156,25,26353327,28228285,26,0.18449
10,12998,13022,25,45069536,47114150,45,0.18429
29,28195,28219,25,29099593,30901735,29,0.18404
11,13745,13769,25,2545204,3765380,2,0.18383
16,19169,19193,25,50183192,51811400,50,0.18373
17,20166,20190,25,53380564,55637193,53,0.18301
2,1955,1979,25,4460405,6073765,4,0.18256
16,19402,19426,25,69963515,71516591,69,0.18236
2,2078,2102,25,15338769,17278352,15,0.18182
1,472,496,25,41834501,43471154,41,0.18176
17,19779,19803,25,16166026,18493662,16,0.18118
29,28390,28414,25,45875893,47713433,45,0.17988
5,7122,7146,25,99154068,102855072,99,0.17977
19,21514,21538,25,27529791,29890136,27,0.17907
2,3113,3137,25,114317194,115771013,114,0.17885
5,6248,6272,25,3193766,4698476,3,0.1779
5,7029,7053,25,88249394,90185045,88,0.17711
23,24432,24456,25,9524150,11563415,9,0.17649
20,22102,22126,25,7103987,8586706,7,0.17639
5,6335,6359,25,8807063,10560048,8,0.17636
6,8111,8135,25,63137386,65395403,63,0.17622
20,22057,22081,25,4496376,5863384,4,0.17591
28,27472,27496,25,12593367,14651368,12,0.17402
4,4970,4994,25,15575489,17807404,15,0.17356
24,25370,25394,25,36464131,38086180,36,0.17347
